id,longitude,latitude
441,-73.99469,40.72108
442,-74.00427,40.60189
443,-73.98954,40.72653
444,-73.96695,40.79915
445,-73.96426,40.6823
446,-73.99673,40.74786
447,-73.9961,40.7243
448,-73.9807,40.78791
449,-73.95618,40.77351
450,-73.9986,40.72954
451,-73.96858,40.6758
452,-74.00524,40.73775
453,-73.9612,40.7149
454,-73.95274,40.79189
455,-73.9792,40.71364
456,-73.9797,40.72278
457,-74.00941,40.73582
458,-73.97146,40.79977
459,-73.97307,40.79093
460,-73.95986,40.76389
461,-73.94895,40.77866
462,-73.96788,40.7583
463,-73.96721,40.79175
464,-73.98268,40.6714
465,-73.97079,40.67608
466,-73.93394,40.69132
467,-73.95712,40.71941
468,-74.00287,40.71722
469,-73.96175,40.77708
470,-73.93489,40.85517
471,-73.97019,40.79559
472,-73.9448,40.77773
473,-73.94273,40.8227
474,-73.99259,40.6831
475,-74.0753,40.59918
476,-73.99978,40.72486
477,-73.97709,40.79007
